author,number_of_likes,number_of_shares,total_engagement
ArianaGrande,79843861,35873734,115717595
BarackObama,9990865,4960951,14951816
Cristiano,17495912,9342939,26838851
KimKardashian,32528654,9322891,41851545
TheEllenShow,22042176,5760883,27803059
Twitter,2302019,1601657,3903676
YouTube,3913634,871653,4785287
britneyspears,8477170,4744765,13221935
cnnbrk,1487848,1149652,2637500
ddlovato,38712572,22322434,61035006
instagram,3075186,766459,3841645
jimmyfallon,7489525,2421113,9910638
jtimberlake,5981873,3114437,9096310
justinbieber,130761908,90752499,221514407
katyperry,24870754,14497108,39367862
ladygaga,20025220,10262411,30287631
rihanna,18332848,13756860,32089708
selenagomez,28834064,23713185,52547249
shakira,4921992,2525347,7447339
taylorswift13,45303221,25276516,70579737
